OVERALL METRICS
Test Accuracy,90.9242%
Test Loss,0.286123

PER CLASS METRICS
Class,Precision,Recall,F1,Support
Tomato_Bacterial_spot,0.8873,0.9633,0.9238,327
Tomato_Early_blight,0.8407,0.6463,0.7308,147
Tomato_Late_blight,0.868,0.9164,0.8915,287
Tomato_Leaf_Mold,0.9058,0.8333,0.8681,150
Tomato_Septoria_leaf_spot,0.863,0.8473,0.855,275
Tomato_Spider_mites_Two_spotted_spider_mite,0.9184,0.9336,0.9259,241
Tomato__Target_Spot,0.844,0.9246,0.8825,199
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9916,0.9438,0.9671,498
Tomato__Tomato_mosaic_virus,0.9091,0.9434,0.9259,53
Tomato_healthy,0.9697,0.9956,0.9825,225

CONFUSION MATRIX
,Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
Tomato_Bacterial_spot,315,3,3,0,3,0,1,1,0,1
Tomato_Early_blight,18,95,13,1,4,4,10,0,2,0
Tomato_Late_blight,2,5,263,4,6,2,1,0,0,4
Tomato_Leaf_Mold,1,1,5,125,16,1,0,1,0,0
Tomato_Septoria_leaf_spot,4,3,14,7,233,1,7,1,3,2
Tomato_Spider_mites_Two_spotted_spider_mite,1,0,0,1,0,225,13,1,0,0
Tomato__Target_Spot,0,0,1,0,5,9,184,0,0,0
Tomato__Tomato_YellowLeaf__Curl_Virus,14,6,4,0,2,2,0,470,0,0
Tomato__Tomato_mosaic_virus,0,0,0,0,1,1,1,0,50,0
Tomato_healthy,0,0,0,0,0,0,1,0,0,224
