epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.799487,0.733909,0.352032,0.879301,0.0009995
2,0.479144,0.838654,0.276053,0.906144,0.000999
3,0.38463,0.871753,0.240589,0.915111,0.0009985
4,0.332383,0.887812,0.187854,0.9375,0.000998
5,0.289451,0.90318,0.178702,0.937122,0.00099751
6,0.252864,0.916184,0.200271,0.933377,0.00099701
7,0.227491,0.923434,0.12938,0.956415,0.00099651
8,0.207166,0.930765,0.110531,0.963209,0.00099602
9,0.184153,0.93758,0.10809,0.961578,0.00099552
10,0.171753,0.942178,0.101252,0.966304,0.00099502
11,0.160501,0.945875,0.105455,0.964024,0.00099453
12,0.146979,0.951035,0.074956,0.975543,0.00099404
13,0.140387,0.953382,0.091371,0.968478,0.00099354
14,0.126993,0.957208,0.122926,0.958589,0.00099305
15,0.117276,0.961998,0.101323,0.962559,0.00099256
16,0.11367,0.961886,0.098847,0.969459,0.00099206
17,0.104576,0.965037,0.090501,0.969293,0.00099157
18,0.100692,0.965953,0.092558,0.970109,0.00099108
19,0.096291,0.967834,0.213545,0.933483,0.00099059
20,0.091916,0.969538,0.102941,0.964946,0.0009901
21,0.087236,0.971049,0.081945,0.969293,0.00098961
22,0.082802,0.972287,0.058189,0.981522,0.00098912
23,0.080805,0.972383,0.075311,0.976087,0.00098863
24,0.075994,0.974473,0.164439,0.955163,0.00098814
25,0.073915,0.975051,0.094161,0.969837,0.00098765
